model,preprocessing,vectorization,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time,device
Multinomial NB,clean_basic_stopwords,binarized,45487,0.7026311434717856,0.510459439064058,0.3071565251576887,0.3116014275768473,0.6968156992402956,0.7026311434717856,0.6871576243738742,0.007557,CPU
Random Forest,clean_basic_stopwords,binarized,45487,0.6963428760549396,0.1393146829995034,0.19995248277500594,0.16421463414634146,0.48516920465407065,0.6963428760549396,0.5718843249395591,0.137949,CPU
Logistic Regression,clean_basic_stopwords,frequency,45487,0.7355618070494787,0.5277339316903431,0.4527296700436672,0.48292348503729865,0.7099454762900556,0.7355618070494787,0.7194409429069676,10.651578,CPU
Linear SVC,clean_basic_stopwords,frequency,45487,0.7027966241932815,0.47512710549835635,0.42592273530788327,0.4464324521283629,0.695357842275569,0.7027966241932815,0.698440371378827,2.223537,CPU
Multinomial NB,clean_basic_stopwords,frequency,45487,0.7051133542942247,0.5240120012829922,0.3276133948099165,0.33450955419866457,0.7093604795752223,0.7051133542942247,0.6961527638777004,0.007347,CPU
Random Forest,clean_basic_stopwords,frequency,45487,0.6971702796624193,0.28228722900691094,0.20081232800286494,0.16600417964986047,0.6230383003038482,0.6971702796624193,0.5738083357102641,0.14565,CPU
Logistic Regression,clean_basic_stopwords,tfidf,45487,0.7405262286943571,0.5472798567398293,0.350728778135799,0.3900947665252776,0.6986628785523316,0.7405262286943571,0.7049576464531034,0.542587,CPU
Linear SVC,clean_basic_stopwords,tfidf,45487,0.7360582492139666,0.5569679974011954,0.4302261901483851,0.46991201270406135,0.7059651537526155,0.7360582492139666,0.7148981932118738,0.35748,CPU
Multinomial NB,clean_basic_stopwords,tfidf,45487,0.6968393182194275,0.19949941985745068,0.20046838991172136,0.16536591967981,0.5435487822108307,0.6968393182194275,0.5733154421647781,0.007167,CPU
Random Forest,clean_basic_stopwords,tfidf,45487,0.6965083567764355,0.1393016713552871,0.2,0.16422161529457666,0.4851238910594104,0.6965083567764355,0.5719086370799877,0.17082,CPU
Logistic Regression,clean_basic,tfidf,45667,0.752937282806553,0.5774057341054752,0.3838225663069257,0.42640548079211127,0.716602592160183,0.752937282806553,0.7221034213095974,0.69608,CPU
Linear SVC,clean_basic,tfidf,45667,0.7416845937448288,0.5619066612565098,0.4404440703574668,0.4792783967774758,0.7132233408254124,0.7416845937448288,0.7218936251052535,0.491413,CPU
Multinomial NB,clean_basic,tfidf,45667,0.6965083567764355,0.1393708609271523,0.2,0.16426968484730217,0.48536484663443996,0.6965083567764355,0.5720760413058869,0.009972,CPU
