model,preprocessing,vectorization,n_features,device,cv_f1_macro,cv_time,train_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Linear SVC,clean_standard_stopwords_lemma,frequency,37338,CPU,0.4127491180767023,6.928828,1.823603,0.6935297037895085,0.4178587846242179,0.445009752914096,0.3986256857652769
Multinomial NB,clean_standard_stopwords_lemma,frequency,37338,CPU,0.31058421463082164,0.043885,0.00638,0.6950190302829721,0.32058702906840375,0.4983231993623787,0.31302733206519584
Random Forest,clean_standard_stopwords_lemma,frequency,37338,CPU,0.16404017490601483,1.084562,0.146953,0.6963428760549396,0.16488500926815397,0.20600739881839764,0.20020138641616142
Logistic Regression,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.3541471031612296,1.810074,0.519001,0.7319212311765679,0.3754610412484246,0.5259478399189191,0.3381158189942927
Linear SVC,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.4123385233191931,-0.638576,0.282705,0.7276187324176734,0.4310404639775992,0.4944641412222387,0.3968190284255074
Multinomial NB,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.16491473595607017,0.042625,0.005635,0.6970047989409234,0.16614040074388572,0.19230621374152515,0.20076481077787087
Random Forest,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.16360179642212241,1.126865,0.165003,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_standard_stopwords,tfidf,44478,CPU,0.36856829372005606,2.13559,0.60626,0.7405262286943571,0.3957470842050648,0.5645887489681354,0.35436254737801043
Linear SVC,clean_standard_stopwords,tfidf,44478,CPU,0.429878377830262,1.227715,0.321857,0.7383749793149098,0.47132033892347175,0.5549826683275862,0.43201149768350156
Multinomial NB,clean_standard_stopwords,tfidf,44478,CPU,0.16471168459080007,0.04767,0.006825,0.6966738374979314,0.1653572140957447,0.18951251865362295,0.20042087268672729
Random Forest,clean_standard_stopwords,tfidf,44478,CPU,0.16361156681782346,1.174544,0.166133,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_standard,tfidf,44735,CPU,0.39592042354999263,2.833382,0.705655,0.7521098791990734,0.42041605091725953,0.5637259575223432,0.37946050532405645
Linear SVC,clean_standard,tfidf,44735,CPU,0.4399549219466662,1.681274,0.464982,0.743835843124276,0.48428890886192627,0.5676693068520443,0.44628800563003396
Multinomial NB,clean_standard,tfidf,44735,CPU,0.16405248892902213,0.060119,0.009035,0.6965083567764355,0.16428571428571428,0.1393939393939394,0.2
Random Forest,clean_standard,tfidf,44735,CPU,0.16387657569132505,1.306585,0.264231,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.44425261288581447,39.678526,8.751247,0.7214959457223233,0.4434946971390829,0.47168214400389025,0.4231909265248731
Linear SVC,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.4086519683669628,7.452528,1.924755,0.6882343207016383,0.42523744056100166,0.45258134560851315,0.4058659655208695
Multinomial NB,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.2941540124791276,0.051699,0.007073,0.6978322025484031,0.31405475415255113,0.48558821612119907,0.3090577864244067
Random Forest,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.1637920913572274,1.113163,0.137341,0.6965083567764355,0.1649086067288655,0.21935077840344483,0.2002489036411555
Logistic Regression,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.4554985664781864,39.887883,8.598072,0.7357272877709747,0.4731650487158502,0.5143724347853255,0.4455243692330987
Linear SVC,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.4150274869367127,7.550417,1.997362,0.7004798940923382,0.45288325419771214,0.48052650419435866,0.4323049220088982
Multinomial NB,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.3193763135156672,0.052992,0.006971,0.704285950686745,0.34710408774833107,0.5211548670397858,0.3367341136727265
Random Forest,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.16419463723298855,1.075035,0.148941,0.6966738374979314,0.16458127796433236,0.3393247269116187,0.2001719690455718
Logistic Regression,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.37292774695941605,2.148747,0.582195,0.740857190137349,0.3906080065738758,0.5563023907528615,0.35039636193026524
Linear SVC,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.4352036676959606,1.242819,0.330667,0.7344034419990071,0.470687322794188,0.5591652708000062,0.4307018367743079
Multinomial NB,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.16471349650421835,0.05213,0.006466,0.6966738374979314,0.16573306947744942,0.18665391148161886,0.200545324507305
Random Forest,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.16360180109480932,1.158126,0.157212,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,raw,binarized,45667,CPU,0.4482779497676165,52.0035,13.928186,0.7218269071653153,0.44762230209137266,0.4810140443518728,0.424651838670236
Linear SVC,raw,binarized,45667,CPU,0.4153512119444792,7.999026,2.577565,0.6991560483203707,0.43160442491661455,0.45715211326656624,0.4131007593251284
Multinomial NB,raw,binarized,45667,CPU,0.2787137391957185,0.068425,0.009568,0.7008108555353302,0.2926567945828652,0.45134772290420555,0.29150839709905324
Random Forest,raw,binarized,45667,CPU,0.1645135582230463,1.175973,0.163172,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,raw,frequency,45667,CPU,0.4356030769036253,53.8667,11.872362,0.741022670858845,0.4448320145266826,0.498546323613855,0.41593395507556236
Linear SVC,raw,frequency,45667,CPU,0.4254034012716656,12.032175,3.295381,0.7075955651166639,0.44843445952235816,0.47460594920729127,0.4293663299243871
Multinomial NB,raw,frequency,45667,CPU,0.3128332870370382,0.067193,0.00908,0.7094158530531193,0.3364865581180598,0.4888287389229963,0.3353708230769993
Random Forest,raw,frequency,45667,CPU,0.1652954204737221,1.191643,0.169773,0.6965083567764355,0.16493949518839707,0.19653980876644891,0.2002489036411555
Logistic Regression,raw,tfidf,45667,CPU,0.3959315268986213,2.909854,0.703251,0.753102763528049,0.4265875155083922,0.5775644825118154,0.3839945353524975
Linear SVC,raw,tfidf,45667,CPU,0.4415451432981552,-0.18926,0.437205,0.7416845937448288,0.4792783967774758,0.5619066612565098,0.4404440703574668
Multinomial NB,raw,tfidf,45667,CPU,0.16412887393869344,0.062771,0.008058,0.6965083567764355,0.16426968484730217,0.1393708609271523,0.2
Random Forest,raw,tfidf,45667,CPU,0.16370406481191058,1.272367,0.190362,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
